column_name,total_rows,useless_count,useless_percentage
advance_pay,1093064,1039123,95.07
advance_pay_to_remain_non_cash,1093064,1092984,99.99
advance_pay_to_total_cash,1093064,1040653,95.21
approval_amount,1093064,0,0.00
bank_share_cash_amount,1093064,862414,78.90
bank_share_non_cash_amount,1093064,1093049,100.00
branch_code,1093064,0,0.00
branchname,1093064,0,0.00
charge,1093064,1076457,98.48
loan_file_numberr,1093064,0,0.00
client_id,1093064,0,0.00
commission_amount_remain,1093064,889069,81.34
contract,1093064,0,0.00
create_date,1093064,1093064,100.00
customer_obligation_amount,1093064,1092927,99.99
customer_share_cash_amount,1093064,982814,89.91
customer_share_non_cash_amount,1093064,1037948,94.96
discount,1093064,958732,87.71
due_date,1093064,834124,76.31
finalized_loan_amount,1093064,294571,26.95
first_over_due,1093064,248224,22.71
first_passed,1093064,964179,88.21
first_payment_date_in_du,1093064,237562,21.73
frequency,1093064,280366,25.65
inc_commission_amount,1093064,808448,73.96
insert_sysdate,1093064,0,0.00
installment_number_remain,1093064,682744,62.46
interest_amount,1093064,566962,51.87
interest_rate,1093064,222210,20.33
interest_sum,1093064,1031296,94.35
is_installment,1093064,8883,0.81
loan_duration_day,1093064,177560,16.24
loan_file_number,1093064,0,0.00
long_title,1093064,0,0.00
obligation_penalty,1093064,1013106,92.68
passed_date,1093064,253435,23.19
penalty,1093064,974657,89.17
penalty_interest,1093064,1016007,92.95
principal_sum,1093064,980476,89.70
receivable_installment_number,1093064,972396,88.96
sit_distribute_phases,1093064,1083827,99.15
sit_duration,1093064,1023127,93.60
sit_duration_day,1093064,1087094,99.45
sit_fast_receive_percent,1093064,1093026,100.00
sit_flag,1093064,0,0.00
status,1093064,0,0.00
title,1093064,0,0.00
to_due_date,1093064,974694,89.17
to_end_of_month,1093064,325390,29.77
total_payment_up_to_now,1093064,896378,82.01
total_repayment_up_to_now,1093064,265422,24.28
